TenantId,"TimeGenerated [UTC]",SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,PartitionKey,RowKey,StorageAccount,AzureDeploymentID,AzureTableName,AccessList,AccessMask,AccessReason,AccountDomain,AccountExpires,AccountName,AccountSessionIdentifier,AdditionalInfo,AdditionalInfo2,AllowedToDelegateTo,Attributes,AuditPolicyChanges,AuditsDiscarded,AuthenticationLevel,AuthenticationPackageName,AuthenticationProvider,AuthenticationServer,AuthenticationService,AuthenticationType,CACertificateHash,CalledStationID,CallerProcessId,CallerProcessName,CallingStationID,CAPublicKeyHash,CategoryId,CertificateDatabaseHash,ClassId,ClassName,ClientAddress,ClientIPAddress,ClientName,CommandLine,CompatibleIds,DCDNSName,DeviceDescription,DeviceId,DisplayName,Disposition,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,EAPType,ElevatedToken,ErrorCode,ExtendedQuarantineState,FailureReason,FileHash,FilePath,FilePathNoUser,Filter,ForceLogoff,Fqbn,FullyQualifiedSubjectMachineName,FullyQualifiedSubjectUserName,GroupMembership,HandleId,HardwareIds,HomeDirectory,HomePath,ImpersonationLevel,InterfaceUuid,IpAddress,IpPort,KeyLength,LmPackageName,LocationInformation,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LoggingResult,LogonGuid,LogonHours,LogonID,LogonProcessName,LogonType,LogonTypeName,MachineAccountQuota,MachineInventory,MachineLogon,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NASIdentifier,NASIPv4Address,NASIPv6Address,NASPort,NASPortType,NetworkPolicyName,NewDate,NewMaxUsers,NewProcessId,NewProcessName,NewRemark,NewShareFlags,NewTime,NewUacValue,NewValue,NewValueType,ObjectName,ObjectServer,ObjectType,ObjectValueName,OemInformation,OldMaxUsers,OldRemark,OldShareFlags,OldUacValue,OldValue,OldValueType,OperationType,PackageName,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousDate,PreviousTime,PrimaryGroupId,PrivateKeyUsageCount,PrivilegeList,Process,ProcessId,ProcessName,Properties,ProfilePath,ProtocolSequence,ProxyPolicyName,QuarantineHelpURL,QuarantineSessionID,QuarantineSessionIdentifier,QuarantineState,QuarantineSystemHealthResult,RelativeTargetName,RemoteIpAddress,RemotePort,Requester,RequestId,RestrictedAdminMode,RowsDeleted,SamAccountName,ScriptPath,SecurityDescriptor,ServiceAccount,ServiceFileName,ServiceName,ServiceStartType,ServiceType,SessionName,ShareLocalPath,ShareName,SidHistory,Status,SubjectAccount,SubcategoryGuid,SubcategoryId,Subject,SubjectDomainName,SubjectKeyIdentifier,SubjectLogonId,SubjectMachineName,SubjectMachineSID,SubjectUserName,SubjectUserSid,SubStatus,TableId,TargetAccount,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetOutboundDomainName,TargetOutboundUserName,TargetServerName,TargetSid,TargetUser,TargetUserName,TargetUserSid,TemplateContent,TemplateDSObjectFQDN,TemplateInternalName,TemplateOID,TemplateSchemaVersion,TemplateVersion,TokenElevationType,TransmittedServices,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VendorIds,Workstation,WorkstationName,EventLevelName,SourceComputerId,EventOriginId,MG,"TimeCollected [UTC]",ManagementGroupName,SystemUserId,Version,Opcode,Keywords,Correlation,SystemProcessId,SystemThreadId,EventRecordId,Type,"_ResourceId"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:01:47.337 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12544,0,,4624,"4624 - An account was successfully logged on.",,,,,,,,,,,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"%%1842",,,,,,,,,,,,,,,,,"%%1833",,"-","-",0,"-",,,,,,"00000000-0000-0000-0000-000000000000",,,"Advapi  ",5,"5 - Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"services.exe",0x2c4,"C:\Windows\System32\services.exe",,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,"WORKGROUP\Cloud-East-3$",,,,WORKGROUP,,0x3e7,,,"Cloud-East-3$","S-1-5-18",,,"NT AUTHORITY\SYSTEM","NT AUTHORITY",,0x0,,0x3e7,"-","-",,,,SYSTEM,"S-1-5-18",,,,,,,,"-",,,,,"%%1843",,,"-",LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:02:43.133 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",2,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,3228,1988,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:01:47.337 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12548,0,,4672,"4672 - Special privileges assigned to new logon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeAssignPrimaryTokenPrivilege 			SeTcbPrivilege 			SeSecurityPrivilege 			SeTakeOwnershipPrivilege 			SeLoadDriverPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeDebugPrivilege 			SeAuditPrivilege 			SeSystemEnvironmentPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NT AUTHORITY\SYSTEM",,,,"NT AUTHORITY",,0x3e7,,,SYSTEM,"S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:02:43.133 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",0,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,3228,1989,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:07:01.338 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12544,0,,4624,"4624 - An account was successfully logged on.",,,,,,,,,,,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"%%1842",,,,,,,,,,,,,,,,,"%%1833",,"-","-",0,"-",,,,,,"00000000-0000-0000-0000-000000000000",,,"Advapi  ",5,"5 - Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"services.exe",0x2c4,"C:\Windows\System32\services.exe",,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,"WORKGROUP\Cloud-East-3$",,,,WORKGROUP,,0x3e7,,,"Cloud-East-3$","S-1-5-18",,,"NT AUTHORITY\SYSTEM","NT AUTHORITY",,0x0,,0x3e7,"-","-",,,,SYSTEM,"S-1-5-18",,,,,,,,"-",,,,,"%%1843",,,"-",LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:07:35.110 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",2,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,756,1990,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:07:01.338 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12548,0,,4672,"4672 - Special privileges assigned to new logon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeAssignPrimaryTokenPrivilege 			SeTcbPrivilege 			SeSecurityPrivilege 			SeTakeOwnershipPrivilege 			SeLoadDriverPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeDebugPrivilege 			SeAuditPrivilege 			SeSystemEnvironmentPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NT AUTHORITY\SYSTEM",,,,"NT AUTHORITY",,0x3e7,,,SYSTEM,"S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:07:35.110 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",0,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,756,1991,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:11:36.851 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12544,0,,4624,"4624 - An account was successfully logged on.",,,,,,,,,,,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"%%1842",,,,,,,,,,,,,,,,,"%%1833",,"-","-",0,"-",,,,,,"00000000-0000-0000-0000-000000000000",,,"Advapi  ",5,"5 - Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"services.exe",0x2c4,"C:\Windows\System32\services.exe",,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,"WORKGROUP\Cloud-East-3$",,,,WORKGROUP,,0x3e7,,,"Cloud-East-3$","S-1-5-18",,,"NT AUTHORITY\SYSTEM","NT AUTHORITY",,0x0,,0x3e7,"-","-",,,,SYSTEM,"S-1-5-18",,,,,,,,"-",,,,,"%%1843",,,"-",LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:11:55.410 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",2,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,776,1992,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:11:36.851 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12548,0,,4672,"4672 - Special privileges assigned to new logon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeAssignPrimaryTokenPrivilege 			SeTcbPrivilege 			SeSecurityPrivilege 			SeTakeOwnershipPrivilege 			SeLoadDriverPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeDebugPrivilege 			SeAuditPrivilege 			SeSystemEnvironmentPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NT AUTHORITY\SYSTEM",,,,"NT AUTHORITY",,0x3e7,,,SYSTEM,"S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:11:55.410 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",0,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,776,1993,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:14:49.172 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12544,0,,4624,"4624 - An account was successfully logged on.",,,,,,,,,,,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"%%1842",,,,,,,,,,,,,,,,,"%%1833",,"-","-",0,"-",,,,,,"00000000-0000-0000-0000-000000000000",,,"Advapi  ",5,"5 - Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"services.exe",0x2c4,"C:\Windows\System32\services.exe",,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,"WORKGROUP\Cloud-East-3$",,,,WORKGROUP,,0x3e7,,,"Cloud-East-3$","S-1-5-18",,,"NT AUTHORITY\SYSTEM","NT AUTHORITY",,0x0,,0x3e7,"-","-",,,,SYSTEM,"S-1-5-18",,,,,,,,"-",,,,,"%%1843",,,"-",LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:15:15.215 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",2,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,756,1994,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:14:49.172 PM",OpsManager,"NT AUTHORITY\SYSTEM",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,12548,0,,4672,"4672 - Special privileges assigned to new logon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeAssignPrimaryTokenPrivilege 			SeTcbPrivilege 			SeSecurityPrivilege 			SeTakeOwnershipPrivilege 			SeLoadDriverPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeDebugPrivilege 			SeAuditPrivilege 			SeSystemEnvironmentPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NT AUTHORITY\SYSTEM",,,,"NT AUTHORITY",,0x3e7,,,SYSTEM,"S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:15:15.215 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",0,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,756,1995,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:28:12.307 PM",OpsManager,"WORKGROUP\Cloud-East-3$",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,13826,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Remote Desktop Users</Data>
  <Data Name=""TargetDomainName"">Builtin</Data>
  <Data Name=""TargetSid"">S-1-5-32-555</Data>
  <Data Name=""SubjectUserSid"">S-1-5-18</Data>
  <Data Name=""SubjectUserName"">Cloud-East-3$</Data>
  <Data Name=""SubjectDomainName"">WORKGROUP</Data>
  <Data Name=""SubjectLogonId"">0x3e7</Data>
  <Data Name=""CallerProcessId"">0xff4</Data>
  <Data Name=""CallerProcessName"">C:\WindowsAzure\GuestAgent_2.7.41491.1149_2025-06-09_162643\WaAppAgent.exe</Data>
</EventData>",4799,"4799 - A security-enabled local group membership was enumerated",,,,,,,,,,,,,,,,,,,,,,,,,,,0xff4,"C:\WindowsAzure\GuestAgent_2.7.41491.1149_2025-06-09_162643\WaAppAgent.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WORKGROUP\Cloud-East-3$",,,,WORKGROUP,,0x3e7,,,"Cloud-East-3$","S-1-5-18",,,"Builtin\Remote Desktop Users",Builtin,,,,,,,,"S-1-5-32-555",,"Remote Desktop Users",,,,,,,,,,,,,,,,,,LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:28:35.101 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",0,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,776,1996,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
"d2d095f0-0894-4eac-b1ae-54b498c49f32","6/9/2025, 5:28:14.572 PM",OpsManager,"WORKGROUP\Cloud-East-3$",Machine,"Cloud-East-3","Microsoft-Windows-Security-Auditing",Security,13826,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Administrators</Data>
  <Data Name=""TargetDomainName"">Builtin</Data>
  <Data Name=""TargetSid"">S-1-5-32-544</Data>
  <Data Name=""SubjectUserSid"">S-1-5-18</Data>
  <Data Name=""SubjectUserName"">Cloud-East-3$</Data>
  <Data Name=""SubjectDomainName"">WORKGROUP</Data>
  <Data Name=""SubjectLogonId"">0x3e7</Data>
  <Data Name=""CallerProcessId"">0xff4</Data>
  <Data Name=""CallerProcessName"">C:\WindowsAzure\GuestAgent_2.7.41491.1149_2025-06-09_162643\WaAppAgent.exe</Data>
</EventData>",4799,"4799 - A security-enabled local group membership was enumerated",,,,,,,,,,,,,,,,,,,,,,,,,,,0xff4,"C:\WindowsAzure\GuestAgent_2.7.41491.1149_2025-06-09_162643\WaAppAgent.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WORKGROUP\Cloud-East-3$",,,,WORKGROUP,,0x3e7,,,"Cloud-East-3$","S-1-5-18",,,"Builtin\Administrators",Builtin,,,,,,,,"S-1-5-32-544",,Administrators,,,,,,,,,,,,,,,,,,LogAlways,"01170216-a20d-4ed5-93e3-a97b5b60171a","01170216-a20d-4ed5-93e3-a97b5b60171b","00000000-0000-0000-0000-000000000001","6/9/2025, 5:28:35.101 PM","AOI-d2d095f0-0894-4eac-b1ae-54b498c49f32","N/A",0,0,0x8020000000000000,"{01170216-a20d-0000-eb71-0d9c5ad9db01}",720,776,1997,SecurityEvent,"/subscriptions/361dd234-375d-4607-bd33-3f61c4453bf4/resourcegroups/soc-lab/providers/microsoft.compute/virtualmachines/cloud-east-3"
