IP,TotalAttempts,SuccessfulLogins,FailedLogins,SuccessRate,UniqueAccountsAttempted,AccountsAttempted,"FirstAttempt [UTC]","LastAttempt [UTC]"
"14.241.173.124",3108,0,3108,0,1,"[""\\administrator""]","6/9/2025, 6:44:21.547 PM","6/9/2025, 7:48:20.811 PM"
"181.224.237.57",3104,0,3104,0,1,"[""\\administrator""]","6/9/2025, 9:28:20.465 PM","6/9/2025, 10:05:59.699 PM"
"202.46.68.104",2624,0,2624,0,1,"[""\\administrator""]","6/10/2025, 1:15:22.847 AM","6/10/2025, 2:09:06.592 AM"
"123.18.31.228",1988,0,1988,0,1,"[""\\administrator""]","6/10/2025, 1:25:53.837 AM","6/10/2025, 2:09:05.961 AM"
"178.176.231.69",869,0,869,0,1,"[""\\administrator""]","6/9/2025, 7:41:16.852 PM","6/9/2025, 7:56:15.201 PM"
"20.193.159.5",530,0,530,0,3,"[""\\ADMINISTRATOR"",""\\ADMIN"",""\\USER""]","6/9/2025, 6:21:59.074 PM","6/10/2025, 2:08:20.782 AM"
"92.63.197.9",302,0,302,0,275,"[""\\TATIANA"",""\\HALA"",""\\GIOVANI"",""\\CAROLINE"",""\\RECEPCIONISTA"",""\\NOVO"",""\\HUYEN"",""\\NHAT"",""\\KISHORE"",""\\CHENNAI"",""\\AUXILIAR"",""\\ESTEBAN"",""\\BASA"",""\\CRISTIANE"",""\\MARISTELA"",""\\LILIANE"",""\\LEILA"",""\\STORES"",""\\ARIELLE"",""\\ABDALA"",""\\ETIQUETA"",""\\ENTER"",""\\QWERTY"",""\\KIKI"",""\\JULIA"",""\\KOL"",""\\LARISSA"",""\\ANDRE"",""\\ARUN"",""\\TIAGO"",""\\ROOT"",""\\ADMINISTRATIVO"",""\\SUELI"",""\\MARCILIO"",""\\MU"",""\\CALIDAD"",""\\HUSSAIN"",""\\AMMAR"",""\\JCP"",""\\NICOLE"",""\\ACESSO"",""\\ABIMAEL"",""\\RH"",""\\MUSCULACAO"",""\\GABRIELE"",""\\ONLINE"",""\\CENTRAL"",""\\SHIVAM"",""\\ADM"",""\\6"",""\\RECEPCAO"",""\\PEDRO"",""\\HOTEL"",""\\ALAA"",""\\SENTHIL"",""\\KABEER"",""\\FAIZ"",""\\SELVA"",""\\PUNE"",""\\STUDENT"",""\\DATA"",""\\TRAINING"",""\\SOSA"",""\\LCORDOBA"",""\\HOLISTOR"",""\\AD"",""\\SIMPLYGREENSALADFP"",""\\MILLION"",""\\SERVERLINK"",""\\SIMPLYGREENSALADTGM"",""\\HUDA"",""\\LING"",""\\MATI"",""\\PC6"",""\\RECEPCION"",""\\PUESTO4"",""\\MARIBEL"",""\\MLIMA"",""\\SORAIA"",""\\AUDIT01"",""\\KAT"",""\\MAN"",""\\ICCC"",""\\MARIANO"",""\\INVENTARIO"",""\\NOMINAS"",""\\CONTA1"",""\\OMAR"",""\\DAYANA"",""\\LUCIANO"",""\\PLE"",""\\CCTV"",""\\BELL"",""\\LUCK"",""\\TIP"",""\\CHATCHAI"",""\\KAPI"",""\\ALTAMIRA"",""\\CVARGAS"",""\\ANEL"",""\\020"",""\\011"",""\\060C"",""\\060B"",""\\060D"",""\\060A"",""\\060E"",""\\4"",""\\STORE2"",""\\MOHIT"",""\\ADMIN"",""\\JESS"",""\\PEI"",""\\EFIMOVA"",""\\B1"",""\\SVETA"",""\\MAXIM"",""\\ADMINISTRATOR"",""\\MIGUEL"",""\\HR"",""\\ACC04"",""\\KAMLESH"",""\\JIMMY"",""\\ADMINHUYLV"",""\\NGOCANH"",""\\HRM"",""\\GV"",""\\HUNGNM"",""\\HUNGTH"",""\\HAPTT"",""\\DBARRERA"",""\\ABDOLLAHI"",""\\IUST"",""\\DEHGHANI"",""\\SECRETARY"",""\\SOHEIL"",""\\SHAHABI"",""\\KABIRI"",""\\KARIMIAN"",""\\VPN3"",""\\AMINI"",""\\OK1"",""\\MAHSA"",""\\J"",""\\RAHIMI"",""\\KAZEMI"",""\\HASSAN"",""\\AC"",""\\AZIZI"",""\\MODELAGEM"",""\\HAIPHONG"",""\\123"",""\\CAOTOC"",""\\REMOTO1"",""\\PRINCIPAL"",""\\RODRIGO"",""\\RAFAEL"",""\\ADMINISTRADOR"",""\\ALIZADEH"",""\\ALI"",""\\ANABELLA"",""\\CINTIA"",""\\02"",""\\03"",""\\04"",""\\13"",""\\14"",""\\11"",""\\12"",""\\10"",""\\20"",""\\16"",""\\31"",""\\18"",""\\17"",""\\19"",""\\REMOTE3"",""\\KLANG"",""\\OSMAR"",""\\JAIME"",""\\YUVAL"",""\\HANA"",""\\BHARAT"",""\\GUJARAT"",""\\CARGA"",""\\INTEL"",""\\DEVELOPER"",""\\DVRSA"",""\\RI"",""\\GUST"",""\\747"",""\\QMM"",""\\ZAHIRL"",""\\LWL"",""\\PARI"",""\\ZAHRAVRADMINISTRATCR"",""\\FSHRCO"",""\\HENGAME"",""\\HEYDAR"",""\\ASIADLZ"",""\\ZAHIR"",""\\NSDFCORPMDMINISTRATCR"",""\\KTGH"",""\\HADL"",""\\ZOFAN"",""\\MODIRFOROSH"",""\\OSHNO"",""\\BARIDREMCTE"",""\\SMGNOZRUZ"",""\\MSPUSER"",""\\UBADMIN"",""\\RVA"",""\\SADAFPN"",""\\TORKIAN"",""\\CONFRANT"",""\\ADMINISLLATOR"",""\\KOWSARI"",""\\NEMAYESHGAH"",""\\SOBHANI"",""\\ADFNIWISTRATOR"",""\\KAVOOS"",""\\R3"",""\\NASSER"",""\\MIHAN"",""\\YADAK"",""\\EIHAMI"",""\\ASAN3"",""\\ASAN4"",""\\ASANS"",""\\NIKI"",""\\ASANSERVER"",""\\SERVIS"",""\\HH"",""\\FACTOR"",""\\JANEBI"",""\\LION"",""\\MEYSAM"",""\\HLI"",""\\SYSTEM32"",""\\ENTERPRISE"",""\\SUPER"",""\\LIMITTED"",""\\VALIPOOR"",""\\RIS"",""\\PHOTOBANK"",""\\ARTIN"",""\\TADVINREMOTE"",""\\HCADMINISTRATOR"",""\\LEPC"",""\\PACK"",""\\ILRAYAN"",""\\RFESHOP"",""\\SABER"",""\\ITPRO"",""\\WEBMS"",""\\AHANADMIN"",""\\IDCNOC"",""\\AFTAB"",""\\APADANA"",""\\ARMAGHAN"",""\\WAREHOUSE"",""\\DASHTI"",""\\LDC"",""\\BAHAREH"",""\\SHAREPOINT"",""\\FARM"",""\\AFIFIPOUR"",""\\ZARGARAN"",""\\DATACE"",""\\NTER"",""\\EMMY"",""\\SLNAMAX"",""\\PISHRCWSANAT"",""\\AFTCDOMAIN"",""\\AVL""]","6/9/2025, 10:11:45.522 PM","6/9/2025, 10:20:14.485 PM"
"185.243.96.107",278,0,278,0,182,"[""\\ADMINISTRATOR"",""\\TS1"",""\\SCAN"",""\\ADMIN"",""\\USER"",""\\DEMOUSER"",""\\OPENPGSVC"",""\\VHOST"",""\\TEST"",""\\ITAMAR"",""\\SCANNER"",""\\GUEST01"",""\\USER1"",""\\1"",""\\LDAP"",""\\FTPUSER"",""\\POSTGRES"",""\\USUARIO"",""\\OPERADOR"",""\\KASA2"",""\\BACKUP"",""\\SQL3"",""\\SQL1"",""\\123"",""\\DEFAULT"",""\\ESCANER"",""\\ALMOXARIFADO"",""\\PORTATIL"",""\\GUEST"",""\\REMOTO"",""\\IME_ADMIN"",""\\WERKSTATT"",""\\TESTE"",""\\INVITE"",""\\PRINTER"",""\\IME_USER"",""\\PRUEBA"",""\\DEMO"",""\\USER2"",""\\QLIK"",""\\2"",""\\STUDENT"",""\\PONTO"",""\\LAB"",""\\PC2"",""\\MERITZ"",""\\INVITADO"",""\\GABRIEL"",""\\JOHN"",""\\SUPORTE"",""\\SCA"",""\\DATEV"",""\\USER3"",""\\REMOTE"",""\\IPAD1"",""\\EVA"",""\\MARIANA"",""\\XEROX"",""\\CLAUDIA"",""\\HP"",""\\SOFT"",""\\USER4"",""\\SWADMIN"",""\\PC"",""\\KAREN"",""\\RDP"",""\\MARIA"",""\\TEST1"",""\\CAMERAS"",""\\DEPOSITO"",""\\USER6"",""\\PAULO"",""\\POS"",""\\SHORTCUTS"",""\\ARCSERVE"",""\\A"",""\\STAGIAIRE"",""\\GOSC"",""\\TOTEM"",""\\VINICIUS"",""\\RECEPCION"",""\\VPN"",""\\CLIENT"",""\\RODRIGO"",""\\MARIETJIE"",""\\USER01"",""\\T1"",""\\RENATA"",""\\FERNANDA"",""\\ADMINISTRADOR"",""\\RICARDO"",""\\DB2ADMIN"",""\\VENDAS"",""\\CLICK02"",""\\PCP"",""\\ANA"",""\\MYCOM"",""\\ANDRE"",""\\OPERADOR2"",""\\CSI"",""\\BACKUPEXEC"",""\\KODI"",""\\USER8"",""\\ADMINISTRATEUR"",""\\USER7"",""\\MARCELO"",""\\PAULA"",""\\IMPRESSORA"",""\\WKRADAR"",""\\DOCKER"",""\\PESSOAL"",""\\LEANDRO"",""\\IPAD4"",""\\LIDIANE"",""\\TESTUSER"",""\\CORTE"",""\\USER10"",""\\3"",""\\HOME"",""\\KASA"",""\\ESTOQUE"",""\\GS"",""\\REUNIAO"",""\\REMOTO1"",""\\DOKI"",""\\ACC01"",""\\WINDOWS"",""\\CAIXA"",""\\PORTARIA"",""\\CARLOS"",""\\IAT"",""\\FINANCEIRO"",""\\ERPADMIN"",""\\CARLA"",""\\RECEPCAO"",""\\SQLADMIN"",""\\BRUNO"",""\\ALINE"",""\\TEST2"",""\\LABORATORIO"",""\\FABIO"",""\\PATRICIA"",""\\EDP"",""\\LAURA"",""\\ATENDIMENTO"",""\\DEFAULTACCOUNT"",""\\DONNA"",""\\SCANS"",""\\DANIEL"",""\\LEONARDO"",""\\NBWEBSVC"",""\\COMPARTIR"",""\\MEGA"",""\\RAFAEL"",""\\NETWORKCONFIG"",""\\RECEPTION"",""\\TANGO"",""\\USER11"",""\\ILS_ANONYMOUS_USER"",""\\ANNA"",""\\JUNESYSTEMS"",""\\ADMIN2"",""\\CANON"",""\\CONTABIL"",""\\PRINT"",""\\VPN2"",""\\JESSICA"",""\\SUPPORT"",""\\ETB USER"",""\\VAGRANT"",""\\RICOH"",""\\REGIANE"",""\\SERVER"",""\\CONSULTOR"",""\\ANGELA"",""\\CONTABILIDAD"",""\\MATHEUS"",""\\ACCOUNTS"",""\\MONICA"",""\\MICHELLE"",""\\COMPRAS"",""\\BALANCA""]","6/9/2025, 10:11:26.656 PM","6/9/2025, 10:19:53.727 PM"
"185.243.96.116",270,0,270,0,264,"[""\\ALVANI"",""\\ADMINTESB"",""\\HEYDARI"",""\\MEHDIZADEH"",""\\COADMIN"",""\\LAUR"",""\\DCURTALADMIN"",""\\BMA"",""\\PLANT"",""\\SOHEH"",""\\MMMSM"",""\\SALIMI"",""\\SETAD"",""\\DIEH"",""\\MORAGHBAT"",""\\ANGOMANHA"",""\\EDAREKOL"",""\\EDEREKOLL"",""\\EDAREKOLZ"",""\\TOYSERKAN"",""\\MALAYER"",""\\HAMEDAN"",""\\NAHAVAND"",""\\ORDOOGAH"",""\\BAZDASHTGAH"",""\\TKB"",""\\MREZAMT"",""\\FARMANDZ"",""\\BAHRAMAN"",""\\COUHSAR1"",""\\ADMINLAR"",""\\ETEMADIFARD"",""\\LIROZI"",""\\SMPSSWN"",""\\POURBEIG"",""\\SOROSH"",""\\MOHAMMADSHAHI"",""\\MOHAMADIIIIIIII"",""\\KHANLARI"",""\\HOSSE"",""\\ARASHS01"",""\\KHSA"",""\\VRRR"",""\\AFFA"",""\\NAZARNIA"",""\\IMANAFZAL"",""\\IRMANFHOTEL"",""\\APCO"",""\\BRANCH"",""\\EBRAHIM"",""\\MEC"",""\\KRISHNAN"",""\\MUHAMMZD"",""\\MEHJA"",""\\IDADMIN"",""\\ALDAHIYADXB"",""\\SJCAUH"",""\\ARNO"",""\\RESHAD"",""\\SCALA"",""\\ALTAROUSER"",""\\2389"",""\\CTUSER"",""\\IPADZ"",""\\VELDAD"",""\\MADKOUR"",""\\CCESERVICE"",""\\AJED"",""\\JITTHU"",""\\AJZ"",""\\ALANSARI"",""\\NASR"",""\\EA"",""\\MANAV"",""\\TEJASWINI"",""\\SAMY"",""\\SAASTECHS"",""\\FIBREXGROUP"",""\\AKAN"",""\\THAER"",""\\ABUSALEM"",""\\ZELISKO"",""\\SAKJDE"",""\\RESOLUTION"",""\\LOWD"",""\\WAHAB"",""\\VIPUL"",""\\LUCKY"",""\\ASHA"",""\\RIZWAN"",""\\SRINIVAS"",""\\JIGAR"",""\\ANDISH"",""\\GUSU"",""\\STHU"",""\\PYJHL"",""\\HLM"",""\\AHANI"",""\\BASIRI"",""\\MABNAFTPUSER"",""\\OTHEMSER"",""\\IMGHARAVI"",""\\MAZUCHI"",""\\NORANG"",""\\JADMINISTRATCR"",""\\TESL123"",""\\HESAM"",""\\MSP2"",""\\619001"",""\\FARAHZADI"",""\\APNURAYANE"",""\\RASAM"",""\\YOUSEFI"",""\\VOSOUGHI"",""\\BAKHTIARI"",""\\FATEHI"",""\\SHAHRAM"",""\\FAKOOR"",""\\EMAD"",""\\IDEA"",""\\FARIDI"",""\\SHERKAT"",""\\BAHARESTAN"",""\\REZAEI"",""\\TAVAKOLI"",""\\SAFARI"",""\\NASER"",""\\SHAHABI"",""\\MOHAMMED"",""\\MAYURI"",""\\ZARE"",""\\MOVAHEDIAN"",""\\GORGAN"",""\\PARDIS"",""\\TEHRANI"",""\\FALAHI"",""\\EBRAHIMIAN"",""\\AZIMI"",""\\PHOENIX"",""\\HP"",""\\CAMERA"",""\\DESPACHADOR"",""\\M7"",""\\RAJENDRA"",""\\VNEK"",""\\CONTABILIDADE3"",""\\MAURO"",""\\ALEX"",""\\JULIA"",""\\DEBORA"",""\\RAFAEL"",""\\FINANCEIRO"",""\\VENDAS"",""\\MARCELO"",""\\COMERCIAL"",""\\EDSON"",""\\PEDRO"",""\\EXPEDICAO"",""\\CLEBER"",""\\ASSISTENCIA"",""\\PROJETO"",""\\NITIN"",""\\PRAVEEN"",""\\SUMIT"",""\\CHANDER"",""\\ANITHA"",""\\NIKUNJ"",""\\DUZCE"",""\\DONMEZ"",""\\FURKAN"",""\\101"",""\\002"",""\\003"",""\\ALSANCAK"",""\\PRAKASH"",""\\MONI"",""\\GRAZIELE"",""\\LAURO"",""\\PEPINO"",""\\GUERRERO"",""\\PDA3"",""\\REMOTO4"",""\\REMOTO3"",""\\ENTRADAS"",""\\PUESTO4"",""\\USUARIO"",""\\INVITADO"",""\\COBANEW"",""\\ACC-GANTIWARNO"",""\\HAMIDAH"",""\\ACC-JATINOM"",""\\KASKRGAMPEL"",""\\BMTKUBE"",""\\BABAD_01"",""\\CIBEBER01"",""\\01_KS212"",""\\BSM01"",""\\ACC-JOGONALAN"",""\\OPERASIONAL"",""\\NSMCSK001"",""\\BABAD_02"",""\\CIBEBER02"",""\\02_KS212"",""\\ACC-KALIKOTES"",""\\BSM02"",""\\CIBEBER03"",""\\03_KS212"",""\\BSM03"",""\\KABAGPEMPUSAT"",""\\CABMATARAM3"",""\\ACC-KARANGDOWO"",""\\CABMATARAM4"",""\\ACC-KARANGNONGKO"",""\\NSMCSK003"",""\\ACC-BAYAT"",""\\AGUS"",""\\ACC-CEPER"",""\\ACC-DELANGGU"",""\\CON"",""\\LOJA"",""\\COMPTA"",""\\ALAIN"",""\\VIVIANE"",""\\SANDRO"",""\\JULIANO"",""\\DEEPTHI"",""\\FATIHA"",""\\FINANS3"",""\\PHD"",""\\LIDERA"",""\\KAIZEN"",""\\MEDICO"",""\\LEILA"",""\\DONALD"",""\\STK"",""\\ENGENHARIA"",""\\SUPORTE.TI"",""\\CT"",""\\CRISTIANE"",""\\SANDEEP"",""\\REGINA"",""\\MACHINE"",""\\HELTON"",""\\ACC2"",""\\CADILA"",""\\CHETNA"",""\\ABANERJEE"",""\\INOX"",""\\USER01"",""\\USER03"",""\\TIAGO"",""\\BEN"",""\\CAJA"",""\\AGENCIA"",""\\LUIZA"",""\\ELTON"",""\\ADMINN"",""\\R10"",""\\PRTGADMIN"",""\\SIDO"",""\\SAN"",""\\ADMINUSER"",""\\ESTACAO4"",""\\FABRICIO""]","6/9/2025, 10:12:30.620 PM","6/9/2025, 10:20:51.766 PM"
"185.156.73.169",260,0,260,0,258,"[""\\SOFI"",""\\DAVIDE"",""\\MERCATOR"",""\\FZOG"",""\\MICHELS"",""\\CANSU"",""\\ADMINISTRATOR"",""\\SANDRA"",""\\S10"",""\\FARMACIA07"",""\\ACCETTAZIONE"",""\\KREDIT"",""\\TRAFEGO"",""\\NOKAS"",""\\ITAY"",""\\INASE"",""\\GRAJEK"",""\\ULKU"",""\\ESF"",""\\ADMIN"",""\\ELASTIC"",""\\HAFIZE.MAVISERIT"",""\\PORTAL"",""\\SMTP"",""\\IULIANA"",""\\RSANCHEZ"",""\\SCANNER"",""\\JPOZUELO"",""\\TELEVIC"",""\\JIRINKA"",""\\PALM"",""\\HABIENET"",""\\TMKGRAD"",""\\ADMON"",""\\DP2"",""\\679-03"",""\\THONON"",""\\SHHR"",""\\PH"",""\\WYNN"",""\\MALCOLM"",""\\STAGIAIRE6"",""\\MICHIEL"",""\\INDEPENDENCIA"",""\\IVANILDE"",""\\004"",""\\FINANCIERO"",""\\MUH1"",""\\DIOMAC"",""\\HASAN"",""\\BLACKBOX"",""\\KEK"",""\\ABRAMS"",""\\ADM-06"",""\\CUARTE"",""\\EUSEBIO"",""\\HANS"",""\\TAM"",""\\SEDCFTP"",""\\SUPERTECH"",""\\SITECORE"",""\\ACACIAS"",""\\DAESUNG"",""\\DIKA"",""\\HUMBERTO"",""\\FALUVENT"",""\\GOKCE"",""\\PORTO"",""\\SVETA"",""\\WANCHAI"",""\\HERITAGE"",""\\WODA"",""\\EMOLINA"",""\\CHRIS"",""\\MERCADOTECNIA"",""\\MTBM"",""\\ARROW"",""\\TAMARA"",""\\SOINS2"",""\\ENDUSER"",""\\IA"",""\\SALES"",""\\SINAV"",""\\LHERRERA"",""\\FDALLAGO"",""\\ARMANDO"",""\\AFONSO"",""\\ARETINA"",""\\M2MSUPPORT"",""\\EXPLOITATION"",""\\CAREEM"",""\\REUTHER"",""\\FELLES2"",""\\RIVAS"",""\\GILAT"",""\\VERA"",""\\QI"",""\\APRIMORAR"",""\\OFRA"",""\\KBROWN"",""\\СКЛАД"",""\\KT07"",""\\INSYNC.SUPPORT"",""\\ALBERS"",""\\KATJA"",""\\CHENWEI"",""\\MANOLICOS"",""\\BALCAO2"",""\\EUGENIO"",""\\RAJINI"",""\\FABRICA"",""\\VIASOFT"",""\\CORDILHEIRA"",""\\JCLARK"",""\\HARISHRESTHA"",""\\ESKLEP"",""\\PALOMO"",""\\KRAL"",""\\DENTAL"",""\\ACT"",""\\MGP"",""\\TESORERI"",""\\MACIEK.LASOTA"",""\\ABAS"",""\\VOLKAN"",""\\BOGHOLDERI"",""\\KASSE"",""\\SCHAEFER"",""\\MICHAEL"",""\\CONTRACTS"",""\\EUMA"",""\\SLEEP"",""\\ESTALAGEM"",""\\DANAOS"",""\\DOLANSKY"",""\\SAMI"",""\\MOHAN"",""\\RED"",""\\MSMITH"",""\\AIRBOSS"",""\\NEPIMACHOVA"",""\\PRN"",""\\PLENA"",""\\SHARP"",""\\VLASTA"",""\\QZD"",""\\KLIENT"",""\\JOBS"",""\\GLENCORE"",""\\ADIT"",""\\A.ROMERA"",""\\PIRACAIASOFT"",""\\FIRDAUS"",""\\DANI"",""\\ZERO"",""\\VOOR"",""\\UAU"",""\\TAOBAO"",""\\STEMPEL"",""\\LEM"",""\\ROCIOL"",""\\CHENGXING"",""\\LUG"",""\\FATIH"",""\\CEPIK"",""\\MUZAFFARMIRZA"",""\\BART"",""\\SOLAR"",""\\AUDIT"",""\\CHAIWAT"",""\\SENSATTA"",""\\FUTUROSOFT"",""\\VALERIE"",""\\JESSICA"",""\\OEBB"",""\\YANSHI"",""\\SUZANA"",""\\UGT"",""\\ALAATTIN"",""\\CONTABIL"",""\\OZCAN"",""\\MARTINUCCI"",""\\OCONNOR"",""\\ALEJANDRA.SOTO"",""\\LENA"",""\\PRAKTI"",""\\DESOSSA"",""\\JB"",""\\MATHIEU"",""\\HUAWEI"",""\\GADI"",""\\PERFECTO"",""\\SAI"",""\\ADMSLSMKS"",""\\BODI"",""\\DIRECCION"",""\\CHARLES"",""\\DEMOTOUR"",""\\VENTAS1"",""\\CLERMONT"",""\\ALUMNO3"",""\\KPAP"",""\\DLA"",""\\JUDITH"",""\\ASSISTANT"",""\\UEB"",""\\OGRENCI16"",""\\TMPUSER"",""\\GLBUH"",""\\KANTOOR"",""\\SERVICEID"",""\\IBRUSER"",""\\VIRTUOSO"",""\\ROOT"",""\\DENGDAI"",""\\MEDIA"",""\\TOM"",""\\MULTIOS"",""\\HILTON"",""\\THEKY"",""\\SHMUEL"",""\\RU"",""\\NILTON"",""\\CONTABILIDADE002"",""\\RALPH"",""\\TELMA"",""\\FOXES"",""\\OPERATOR1"",""\\6-79-01"",""\\CASP"",""\\EOLE"",""\\TSANCHEZ"",""\\NETUSE"",""\\ILARIA"",""\\H3C"",""\\CEZAEVI"",""\\GYULA"",""\\JANET"",""\\OPENFIRE"",""\\STEPH"",""\\SXF-REMOTE"",""\\DB2DC"",""\\5"",""\\KELVIN"",""\\DIGITURNO"",""\\SERVERTEAM"",""\\RP02"",""\\ANTALLY"",""\\RESIPLUS"",""\\LAIANE"",""\\BEVERLY"",""\\VALENTINA"",""\\APIROGOVSKY"",""\\DEANNE"",""\\PRODUKTION"",""\\SAMANEH"",""\\MUCK"",""\\JUANB""]","6/9/2025, 10:12:05.549 PM","6/9/2025, 10:20:33.978 PM"
